Charging event,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model
7309403,50911,2,04/06/2018,09:40,04/06/2018,09:47,5.01,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309393,50523,2,04/06/2018,09:35,04/06/2018,10:07,3.35,0.0,"Marchbanks, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309389,50315,1,04/06/2018,09:33,04/06/2018,16:58,10.04,0.0,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309376,51086,2,04/06/2018,09:29,04/06/2018,13:02,7.77,0.0,"Nethergate, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7309325,50908,1,04/06/2018,09:16,04/06/2018,13:38,9.687,0.0,"Trades Lane, Dundee",CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7309320,50339,2,04/06/2018,09:14,04/06/2018,09:29,2.69,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309311,50349,2,04/06/2018,09:12,04/06/2018,09:21,3.88,0.0,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Dual Rapid Charger
7309304,50911,2,04/06/2018,09:11,04/06/2018,09:17,4.18,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309305,50675,2,04/06/2018,09:11,04/06/2018,16:54,6.08,0.0,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309281,50339,2,04/06/2018,09:04,04/06/2018,09:13,2.88,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309174,50339,2,04/06/2018,08:40,04/06/2018,08:47,2.26,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309164,50692,2,04/06/2018,08:39,04/06/2018,09:21,11.66,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309162,51549,2,04/06/2018,08:38,04/06/2018,09:09,21.789,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7309146,50911,2,04/06/2018,08:35,04/06/2018,09:07,11.87,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309092,50315,2,04/06/2018,08:24,04/06/2018,12:17,7.11,0.0,"Greenmarket Multi Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309082,50240,2,04/06/2018,08:22,04/06/2018,09:45,1.59,0.0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309078,50630,1,04/06/2018,08:21,04/06/2018,14:21,9.353,0.0,"University of Dundee, Nethergate, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7309046,50676,2,04/06/2018,08:15,04/06/2018,16:53,9.1,0.0,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309044,51088,2,04/06/2018,08:14,04/06/2018,09:53,9.311,0.0,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7309026,50692,2,04/06/2018,08:10,04/06/2018,08:31,8.33,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7309018,50523,1,04/06/2018,08:08,04/06/2018,17:16,16.14,0.0,"Marchbanks, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7308996,50339,2,04/06/2018,08:05,04/06/2018,08:22,5.59,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7308955,51547,2,04/06/2018,07:56,04/06/2018,08:20,8.808,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308926,50630,2,04/06/2018,07:51,04/06/2018,11:43,6.57,0.0,"University of Dundee, Nethergate, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7308889,51548,2,04/06/2018,07:41,04/06/2018,07:54,8.417,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308832,50910,2,04/06/2018,07:29,04/06/2018,11:06,8.419,0.0,"Dock Street, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
7308809,50338,2,04/06/2018,07:24,04/06/2018,07:54,1.62,0.0,"Social Work Building, Jack Martin Way, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7308797,50692,2,04/06/2018,07:21,04/06/2018,07:51,17.17,0.0,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7308792,51548,2,04/06/2018,07:20,04/06/2018,07:31,6.923,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308772,50911,2,04/06/2018,07:14,04/06/2018,07:29,10.92,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7308697,51550,2,04/06/2018,06:42,04/06/2018,07:13,16.421,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308691,50238,1,04/06/2018,06:36,04/06/2018,18:25,4.54,0.0,"Public Works Dept, Clepington Rd. Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet
7308674,51548,2,04/06/2018,06:17,04/06/2018,07:16,21.845,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308659,51548,2,04/06/2018,05:54,04/06/2018,05:55,0.515,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308660,51549,2,04/06/2018,05:54,04/06/2018,06:25,9.311,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308649,50911,2,04/06/2018,05:23,04/06/2018,06:23,17.47,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7308640,51548,2,04/06/2018,04:50,04/06/2018,05:00,7.574,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308635,51550,2,04/06/2018,03:56,04/06/2018,04:35,17.58,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308634,51549,2,04/06/2018,03:48,04/06/2018,04:06,4.414,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308633,51548,2,04/06/2018,03:40,04/06/2018,04:02,15.58,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308627,51547,2,04/06/2018,02:51,04/06/2018,03:17,18.927,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308626,51550,2,04/06/2018,02:42,04/06/2018,03:16,11.757,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308625,51548,2,04/06/2018,02:36,04/06/2018,03:06,16.048,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308623,51547,2,04/06/2018,02:13,04/06/2018,02:20,3.417,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308622,51549,2,04/06/2018,02:07,04/06/2018,03:04,27.213,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308620,51548,2,04/06/2018,01:58,04/06/2018,02:14,12.13,0.0,"Lochee Charging Hub, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption
7308614,50911,2,04/06/2018,01:42,04/06/2018,02:01,9.33,0.0,"Queen Street Car Park, Broughty Ferry, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger
7308611,50909,2,04/06/2018,01:27,04/06/2018,07:51,19.422,0.0,"South Tay Street, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet
